Timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type
2025-01-01 00:00:00,27.49,56.15,76.5,Night,Weekday
2025-01-01 01:00:00,39.01,53.3,49.23,Night,Weekday
2025-01-01 02:00:00,34.64,42.33,57.33,Night,Weekday
2025-01-01 03:00:00,31.97,72.51,73.16,Night,Weekday
2025-01-01 04:00:00,23.12,63.36,64.1,Night,Weekday
2025-01-01 05:00:00,23.12,90.6,76.93,Night,Weekday
2025-01-01 06:00:00,21.16,32.25,88.06,Morning,Weekday
2025-01-01 07:00:00,37.32,75.07,45.83,Morning,Weekday
2025-01-01 08:00:00,32.02,83.41,75.48,Morning,Weekday
2025-01-01 09:00:00,34.16,83.16,51.52,Morning,Weekday
2025-01-01 10:00:00,20.41,92.03,60.72,Morning,Weekday
2025-01-01 11:00:00,39.4,81.03,41.64,Morning,Weekday
2025-01-01 12:00:00,36.65,94.95,46.8,Morning,Weekday
2025-01-01 13:00:00,24.25,53.29,55.99,Morning,Weekday
2025-01-01 14:00:00,23.64,65.22,57.1,Evening,Weekday
2025-01-01 15:00:00,23.67,30.99,84.98,Evening,Weekday
2025-01-01 16:00:00,26.08,30.49,77.09,Evening,Weekday
2025-01-01 17:00:00,30.5,46.81,88.61,Evening,Weekday
2025-01-01 18:00:00,28.64,37.06,69.95,Evening,Weekday
2025-01-01 19:00:00,25.82,48.21,52.09,Evening,Weekday
2025-01-01 20:00:00,32.24,42.39,56.38,Evening,Weekday
2025-01-01 21:00:00,22.79,32.0,55.99,Evening,Weekday
2025-01-01 22:00:00,25.84,93.65,56.32,Night,Weekday
2025-01-01 23:00:00,27.33,30.58,73.65,Night,Weekday
2025-01-02 00:00:00,29.12,81.53,66.54,Night,Weekday
2025-01-02 01:00:00,35.7,40.65,59.27,Night,Weekday
2025-01-02 02:00:00,23.99,93.86,47.45,Night,Weekday
2025-01-02 03:00:00,30.28,92.5,41.11,Night,Weekday
2025-01-02 04:00:00,31.85,75.77,50.94,Night,Weekday
2025-01-02 05:00:00,20.93,77.06,45.37,Night,Weekday
2025-01-02 06:00:00,32.15,30.37,79.27,Morning,Weekday
2025-01-02 07:00:00,23.41,98.94,45.62,Morning,Weekday
2025-01-02 08:00:00,21.3,91.45,76.21,Morning,Weekday
2025-01-02 09:00:00,38.98,92.66,59.28,Morning,Weekday
2025-01-02 10:00:00,39.31,76.15,43.67,Morning,Weekday
2025-01-02 11:00:00,36.17,54.14,80.64,Morning,Weekday
2025-01-02 12:00:00,26.09,92.56,68.98,Morning,Weekday
2025-01-02 13:00:00,21.95,50.41,51.79,Morning,Weekday
2025-01-02 14:00:00,33.68,69.39,84.73,Evening,Weekday
2025-01-02 15:00:00,28.8,36.98,42.26,Evening,Weekday
2025-01-02 16:00:00,22.44,94.54,50.09,Evening,Weekday
2025-01-02 17:00:00,29.9,39.85,77.6,Evening,Weekday
2025-01-02 18:00:00,20.69,45.74,75.47,Evening,Weekday
2025-01-02 19:00:00,38.19,69.07,54.46,Evening,Weekday
2025-01-02 20:00:00,25.18,83.49,43.1,Evening,Weekday
2025-01-02 21:00:00,33.25,73.35,82.9,Evening,Weekday
2025-01-02 22:00:00,26.23,46.25,55.68,Night,Weekday
2025-01-02 23:00:00,30.4,30.07,49.79,Night,Weekday
2025-01-03 00:00:00,30.93,83.0,65.8,Night,Weekday
2025-01-03 01:00:00,23.7,98.96,85.51,Night,Weekday
2025-01-03 02:00:00,39.39,86.69,42.18,Night,Weekday
2025-01-03 03:00:00,35.5,62.21,78.29,Night,Weekday
2025-01-03 04:00:00,38.79,93.26,68.62,Night,Weekday
2025-01-03 05:00:00,37.9,58.69,61.27,Night,Weekday
2025-01-03 06:00:00,31.96,66.75,77.2,Morning,Weekday
2025-01-03 07:00:00,38.44,63.4,88.29,Morning,Weekday
2025-01-03 08:00:00,21.77,61.33,51.46,Morning,Weekday
2025-01-03 09:00:00,23.92,84.26,47.18,Morning,Weekday
2025-01-03 10:00:00,20.9,66.87,85.64,Morning,Weekday
2025-01-03 11:00:00,26.51,52.17,73.45,Morning,Weekday
2025-01-03 12:00:00,27.77,48.07,61.9,Morning,Weekday
2025-01-03 13:00:00,25.43,32.64,68.66,Morning,Weekday
2025-01-03 14:00:00,36.57,70.82,77.28,Evening,Weekday
