UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,Timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2025-01-01 00:00:00,2025-01-01 00:00:00,26,62,41,Evening,Weekday
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,2025-01-01 00:01:00,2025-01-01 00:01:00,39,34,47,Morning,Weekend
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,2025-01-01 00:02:00,2025-01-01 00:02:00,34,43,81,Evening,Weekday
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,2025-01-01 00:03:00,2025-01-01 00:03:00,30,97,46,Evening,Weekend
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,2025-01-01 00:04:00,2025-01-01 00:04:00,27,76,49,Morning,Weekday
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2025-01-01 00:05:00,2025-01-01 00:05:00,40,83,43,Morning,Weekday
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,2025-01-01 00:06:00,2025-01-01 00:06:00,26,33,82,Evening,Weekday
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,2025-01-01 00:07:00,2025-01-01 00:07:00,38,38,80,Morning,Weekend
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2025-01-01 00:08:00,2025-01-01 00:08:00,30,82,75,Evening,Weekday
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2025-01-01 00:09:00,2025-01-01 00:09:00,30,89,74,Evening,Weekend
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2025-01-01 00:10:00,2025-01-01 00:10:00,40,75,82,Evening,Weekday
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2025-01-01 00:11:00,2025-01-01 00:11:00,23,83,42,Morning,Weekday
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2025-01-01 00:12:00,2025-01-01 00:12:00,27,66,57,Night,Weekday
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2025-01-01 00:13:00,2025-01-01 00:13:00,22,52,90,Night,Weekday
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,2025-01-01 00:14:00,2025-01-01 00:14:00,40,56,85,Evening,Weekend
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,2025-01-01 00:15:00,2025-01-01 00:15:00,21,99,82,Evening,Weekday
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2025-01-01 00:16:00,2025-01-01 00:16:00,31,95,63,Morning,Weekday
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2025-01-01 00:17:00,2025-01-01 00:17:00,25,90,71,Night,Weekday
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2025-01-01 00:18:00,2025-01-01 00:18:00,21,80,73,Night,Weekday
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2025-01-01 00:19:00,2025-01-01 00:19:00,40,79,41,Night,Weekend
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2025-01-01 00:20:00,2025-01-01 00:20:00,20,48,41,Morning,Weekday
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,2025-01-01 00:21:00,2025-01-01 00:21:00,31,30,49,Morning,Weekend
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2025-01-01 00:22:00,2025-01-01 00:22:00,31,69,62,Morning,Weekday
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,2025-01-01 00:23:00,2025-01-01 00:23:00,36,61,54,Evening,Weekend
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2025-01-01 00:24:00,2025-01-01 00:24:00,29,51,51,Morning,Weekend
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,2025-01-01 00:25:00,2025-01-01 00:25:00,35,95,82,Evening,Weekday
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,2025-01-01 00:26:00,2025-01-01 00:26:00,34,69,56,Evening,Weekend
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2025-01-01 00:27:00,2025-01-01 00:27:00,34,67,57,Evening,Weekday
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,2025-01-01 00:28:00,2025-01-01 00:28:00,38,77,53,Evening,Weekday
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,2025-01-01 00:29:00,2025-01-01 00:29:00,31,84,56,Morning,Weekend
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2025-01-01 00:30:00,2025-01-01 00:30:00,39,84,54,Morning,Weekday
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,2025-01-01 00:31:00,2025-01-01 00:31:00,22,80,51,Night,Weekday
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,2025-01-01 00:32:00,2025-01-01 00:32:00,24,89,55,Night,Weekend
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,2025-01-01 00:33:00,2025-01-01 00:33:00,38,37,71,Evening,Weekday
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2025-01-01 00:34:00,2025-01-01 00:34:00,26,97,62,Night,Weekday
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2025-01-01 00:35:00,2025-01-01 00:35:00,40,38,77,Night,Weekend
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2025-01-01 00:36:00,2025-01-01 00:36:00,28,31,73,Night,Weekend
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,2025-01-01 00:37:00,2025-01-01 00:37:00,26,99,73,Evening,Weekday
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2025-01-01 00:38:00,2025-01-01 00:38:00,37,88,55,Night,Weekday
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,2025-01-01 00:39:00,2025-01-01 00:39:00,23,48,73,Morning,Weekend
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,2025-01-01 00:40:00,2025-01-01 00:40:00,33,57,79,Evening,Weekday
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,2025-01-01 00:41:00,2025-01-01 00:41:00,37,43,46,Morning,Weekend
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2025-01-01 00:42:00,2025-01-01 00:42:00,28,53,72,Evening,Weekday
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2025-01-01 00:43:00,2025-01-01 00:43:00,40,73,43,Morning,Weekend
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2025-01-01 00:44:00,2025-01-01 00:44:00,21,85,82,Night,Weekday
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,2025-01-01 00:45:00,2025-01-01 00:45:00,39,80,46,Evening,Weekday
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,2025-01-01 00:46:00,2025-01-01 00:46:00,34,61,57,Morning,Weekend
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,2025-01-01 00:47:00,2025-01-01 00:47:00,26,79,43,Evening,Weekday
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,2025-01-01 00:48:00,2025-01-01 00:48:00,31,70,88,Morning,Weekend
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,2025-01-01 00:49:00,2025-01-01 00:49:00,27,95,50,Night,Weekend
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,2025-01-01 00:50:00,2025-01-01 00:50:00,34,54,82,Evening,Weekend
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,2025-01-01 00:51:00,2025-01-01 00:51:00,22,90,59,Evening,Weekday
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,2025-01-01 00:52:00,2025-01-01 00:52:00,33,95,50,Morning,Weekday
