Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,timestamp,Ambient_Temperature,Load_Density,Humidity,Shift,Day_Type,temp_diff,load_ratio,humidity_impact,Machine failure
2,298.1,308.6,1551,42.8,0,0,0,0,0,0,2025-01-01 00:00:00,26,62,41,0,0,10.5,0.62,25.42,0
1,298.2,308.7,1408,46.3,3,0,0,0,0,0,2025-01-01 00:01:00,39,34,47,1,1,10.5,0.34,15.98,0
1,298.1,308.5,1498,49.4,5,0,0,0,0,0,2025-01-01 00:02:00,34,43,81,0,0,10.399999999999975,0.43,34.83,0
1,298.2,308.6,1433,39.5,7,0,0,0,0,0,2025-01-01 00:03:00,30,97,46,0,1,10.400000000000034,0.97,44.62,0
1,298.2,308.7,1408,40.0,9,0,0,0,0,0,2025-01-01 00:04:00,27,76,49,1,0,10.5,0.76,37.24,0
2,298.1,308.6,1425,41.9,11,0,0,0,0,0,2025-01-01 00:05:00,40,83,43,1,0,10.5,0.83,35.69,0
1,298.1,308.6,1558,42.4,14,0,0,0,0,0,2025-01-01 00:06:00,26,33,82,0,0,10.5,0.33,27.06,0
1,298.1,308.6,1527,40.2,16,0,0,0,0,0,2025-01-01 00:07:00,38,38,80,1,1,10.5,0.38,30.4,0
2,298.3,308.7,1667,28.6,18,0,0,0,0,0,2025-01-01 00:08:00,30,82,75,0,0,10.399999999999975,0.82,61.49999999999999,0
2,298.5,309.0,1741,28.0,21,0,0,0,0,0,2025-01-01 00:09:00,30,89,74,0,1,10.5,0.89,65.86,0
0,298.4,308.9,1782,23.9,24,0,0,0,0,0,2025-01-01 00:10:00,40,75,82,0,0,10.5,0.75,61.5,0
0,298.6,309.1,1423,44.3,29,0,0,0,0,0,2025-01-01 00:11:00,23,83,42,1,0,10.5,0.83,34.86,0
2,298.6,309.1,1339,51.1,34,0,0,0,0,0,2025-01-01 00:12:00,27,66,57,2,0,10.5,0.66,37.620000000000005,0
2,298.6,309.2,1742,30.0,37,0,0,0,0,0,2025-01-01 00:13:00,22,52,90,2,0,10.599999999999966,0.52,46.8,0
1,298.6,309.2,2035,19.6,40,0,0,0,0,0,2025-01-01 00:14:00,40,56,85,0,1,10.599999999999966,0.56,47.6,0
1,298.6,309.2,1542,48.4,42,0,0,0,0,0,2025-01-01 00:15:00,21,99,82,0,0,10.599999999999966,0.99,81.17999999999999,0
