UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Air temperature [K]_rollmean_5,Air temperature [K]_rollstd_5,Air temperature [K]_rollvar_5,Air temperature [K]_rollmean_10,Air temperature [K]_rollstd_10,Air temperature [K]_rollvar_10,Process temperature [K]_rollmean_5,Process temperature [K]_rollstd_5,Process temperature [K]_rollvar_5,Process temperature [K]_rollmean_10,Process temperature [K]_rollstd_10,Process temperature [K]_rollvar_10,Rotational speed [rpm]_rollmean_5,Rotational speed [rpm]_rollstd_5,Rotational speed [rpm]_rollvar_5,Rotational speed [rpm]_rollmean_10,Rotational speed [rpm]_rollstd_10,Rotational speed [rpm]_rollvar_10,Torque [Nm]_rollmean_5,Torque [Nm]_rollstd_5,Torque [Nm]_rollvar_5,Torque [Nm]_rollmean_10,Torque [Nm]_rollstd_10,Torque [Nm]_rollvar_10,Tool wear [min]_rollmean_5,Tool wear [min]_rollstd_5,Tool wear [min]_rollvar_5,Tool wear [min]_rollmean_10,Tool wear [min]_rollstd_10,Tool wear [min]_rollvar_10,Air temperature [K]_rollmin_5,Air temperature [K]_rollmax_5,Air temperature [K]_rollmin_10,Air temperature [K]_rollmax_10,Process temperature [K]_rollmin_5,Process temperature [K]_rollmax_5,Process temperature [K]_rollmin_10,Process temperature [K]_rollmax_10,Rotational speed [rpm]_rollmin_5,Rotational speed [rpm]_rollmax_5,Rotational speed [rpm]_rollmin_10,Rotational speed [rpm]_rollmax_10,Torque [Nm]_rollmin_5,Torque [Nm]_rollmax_5,Torque [Nm]_rollmin_10,Torque [Nm]_rollmax_10,Tool wear [min]_rollmin_5,Tool wear [min]_rollmax_5,Tool wear [min]_rollmin_10,Tool wear [min]_rollmax_10
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,298.1,0.0,0.0,298.1,0.0,0.0,308.6,0.0,0.0,308.6,0.0,0.0,1551.0,0.0,0.0,1551.0,0.0,0.0,42.8,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.1,298.1,298.1,298.1,308.6,308.6,308.6,308.6,1551.0,1551.0,1551.0,1551.0,42.8,42.8,42.8,42.8,0.0,0.0,0.0,0.0
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,298.15,0.07071067811865074,0.004999999999999432,298.15,0.07071067811865074,0.004999999999999432,308.65,0.07071067811865074,0.004999999999999432,308.65,0.07071067811865074,0.004999999999999432,1479.5,101.1162697096763,10224.5,1479.5,101.1162697096763,10224.5,44.55,2.4748737341529163,6.125,44.55,2.4748737341529163,6.125,1.5,2.1213203435596424,4.5,1.5,2.1213203435596424,4.5,298.1,298.2,298.1,298.2,308.6,308.7,308.6,308.7,1408.0,1551.0,1408.0,1551.0,42.8,46.3,42.8,46.3,0.0,3.0,0.0,3.0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,298.1333333333334,0.05773502691894699,0.0033333333333315333,298.1333333333334,0.05773502691894699,0.0033333333333315333,308.59999999999997,0.0999999999999801,0.00999999999999602,308.59999999999997,0.0999999999999801,0.00999999999999602,1485.6666666666667,72.29338374521788,5226.333333333333,1485.6666666666667,72.29338374521788,5226.333333333333,46.166666666666664,3.302019584032375,10.903333333333338,46.166666666666664,3.302019584032375,10.903333333333338,2.6666666666666665,2.516611478423583,6.333333333333333,2.6666666666666665,2.516611478423583,6.333333333333333,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,42.8,49.4,42.8,49.4,0.0,5.0,0.0,5.0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,298.15,0.057735026918953825,0.0033333333333323226,298.15,0.057735026918953825,0.0033333333333323226,308.6,0.08164965809275636,0.006666666666664014,308.6,0.08164965809275636,0.006666666666664014,1472.5,64.63487190879755,4177.666666666667,1472.5,64.63487190879755,4177.666666666667,44.5,4.287190222045203,18.38,44.5,4.287190222045203,18.38,3.75,2.9860788111948193,8.916666666666666,3.75,2.9860788111948193,8.916666666666666,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,39.5,49.4,39.5,49.4,0.0,7.0,0.0,7.0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,0.0029999999999996115,298.15999999999997,0.05477225575051307,0.0029999999999996115,308.62,0.0836660026534045,0.006999999999999488,308.62,0.0836660026534045,0.006999999999999488,1459.6,62.970628073729735,3965.2999999999993,1459.6,62.970628073729735,3965.2999999999993,43.6,4.223150482755735,17.835,43.6,4.223150482755735,17.835,4.8,3.492849839314596,12.2,4.8,3.492849839314596,12.2,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1551.0,1408.0,1551.0,39.5,49.4,39.5,49.4,0.0,9.0,0.0,9.0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,298.15999999999997,0.05477225575051307,0.0029999999999996115,298.15000000000003,0.05477225575050381,0.002999999999998598,308.62,0.0836660026534045,0.006999999999999488,308.6166666666667,0.07527726527090181,0.005666666666665719,1434.4,37.17929531338641,1382.299999999997,1453.8333333333333,58.06691542235273,3371.766666666665,43.419999999999995,4.284506972803289,18.357000000000003,43.31666666666666,3.8405294773854646,14.74966666666667,7.0,3.1622776601683795,10.0,5.833333333333333,4.02077936060494,16.166666666666668,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1498.0,1408.0,1551.0,39.5,49.4,39.5,49.4,3.0,11.0,0.0,11.0
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,298.14,0.05477225575050139,0.0029999999999983326,298.14285714285717,0.05345224838246661,0.002857142857140904,308.6,0.07071067811863264,0.004999999999996873,308.61428571428576,0.0690065559342277,0.004761904761903697,1464.4,62.46839200747842,3902.299999999994,1468.7142857142858,66.02957490325653,4359.904761904764,42.64,3.9727824002832084,15.783000000000012,43.18571428571429,3.5229857466967665,12.411428571428575,9.2,3.492849839314596,12.200000000000001,7.0,4.795831523312719,23.0,298.1,298.2,298.1,298.2,308.5,308.7,308.5,308.7,1408.0,1558.0,1408.0,1558.0,39.5,49.4,39.5,49.4,5.0,14.0,0.0,14.0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,298.14,0.05477225575050139,0.0029999999999983326,298.1375,0.05175491695065552,0.00267857142856925,308.62,0.04472135955000755,0.0020000000000010513,308.6125,0.06408699444615774,0.004107142857141854,1470.2,67.51073988633212,4557.699999999993,1476.0,64.51135005341534,4161.714285714291,40.8,1.2708265027138925,1.6150000000000229,42.8125,3.42821798773482,11.752678571428577,11.4,3.646916505762094,13.3,8.125,5.462534733462636,29.839285714285715,298.1,298.2,298.1,298.2,308.6,308.7,308.5,308.7,1408.0,1558.0,1408.0,1558.0,39.5,42.4,39.5,49.4,7.0,16.0,0.0,16.0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,298.15999999999997,0.08944271909998187,0.007999999999998262,298.15555555555557,0.07264831572566778,0.005277777777776308,308.64,0.05477225575056409,0.0030000000000052008,308.6222222222222,0.06666666666665884,0.004444444444443401,1517.0,105.62433431742892,11156.499999999993,1497.2222222222222,87.720832442724,7694.94444444446,38.62,5.697543330243311,32.462000000000046,41.233333333333334,5.720795399243013,32.72750000000002,13.6,3.646916505762094,13.3,9.222222222222221,6.078194176270157,36.94444444444444,298.1,298.3,298.1,298.3,308.6,308.7,308.5,308.7,1408.0,1667.0,1408.0,1667.0,28.6,42.4,28.6,49.4,9.0,18.0,0.0,18.0
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,298.22,0.1788854381999675,0.031999999999994394,298.19,0.1286683937707858,0.016555555555553988,308.7,0.1732050807569382,0.03000000000001748,308.65999999999997,0.1349897115421144,0.01822222222222325,1583.6,123.23067799862174,15185.799999999997,1521.6,113.06065235576496,12782.711111111139,36.22,7.278873539222953,52.98200000000008,39.910000000000004,6.826655273427996,46.60322222222227,16.0,3.8078865529319543,14.5,10.4,6.834552736727628,46.71111111111111,298.1,298.5,298.1,298.5,308.6,309.0,308.5,309.0,1425.0,1741.0,1408.0,1741.0,28.0,42.4,28.0,49.4,11.0,21.0,0.0,21.0
